Name,Entity,Serial number,Status,Type,Manufacturer,Model,Location,Inventory number,Creation date,Last update,Comments,Components - Processor,Components - Memory type,Components - Hard drive type
Computer 00417,Root entity,5CG909424R,Refurb in progress,Laptop,HP,HP ProBook 650 G4,VALIDATED,02270005,2026-02-27 16:06,2026-05-28 08:33,"needs a new keyboard £26
09/04 - needs screen housing (on way)",Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,8GB,
Computer 00505,Root entity,14093685183,Refurb in progress,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,Dell Inc.,Dell Latitude 5400 2019,VALIDATED,04300008,2026-04-30 14:54,2026-05-28 15:36,"Screen assy and palmrest replaced.
Test needed, 08/05/2026",Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,16gb,Micron 1100 SATA 512GB
Computer 00510,Root entity,754626-01R9101805,Refurb in progress,Laptop,Fujitsu,Fujitsu Lifebook A series A357,VALIDATED,05010007,2026-05-01 14:53,2026-05-28 09:07,"battery replacement- £35
Everything else is good.",Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8GB,HDD 256gb
Computer 00518,Root entity,YMKV052224,Refurb in progress,Laptop,Fujitsu,Fujitsu Lifebook A series A357,VALIDATED,05080013,2026-05-08 10:26,2026-05-28 08:40,NO BIOS LOGO DETECTED,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8GB,HDD 256gb
Computer 00527,Root entity,13G82Q1,Refurb complete,Laptop,DELL,Dell Latitude E6430 2012,VALIDATED,05280001,2026-05-28 13:19,2026-05-28 15:10,Good condition.,Intel(R) Core(TM) i7-2620M CPU @ 2.70GHz,8GB,250 GB HDD
Computer 00528,Root entity,CND53716YZ,Refurb in progress,Laptop,HP,hp probook 450 G2 2015,VALIDATED,05280002,2026-05-28 13:38,2026-05-28 13:43,Needs a battery.£16,Intel(R) Core(TM) i5-5200 CPU @ 2.20GHz,4GB,
Computer 00529,Root entity,16MCM53,Refurb complete,Laptop,HP,dell latitude 5510,VALIDATED,05280003,2026-05-28 14:02,2026-05-28 14:05,good condition.,Intel(R) Core(TM) i5-10310U CPU @ 1.70GHz,8GB,BC711NVMeSKhynix512GB
Computer 00530,Root entity,NXMW2EKO68531038347600,Refurb pending,Laptop,acer,Acer Aspire E5-573 ,VALIDATED,05280004,2026-05-28 14:36,2026-05-28 14:36,"Microphone not working / detected - cedar
turns off when unplugged - battery problem
ismail 
05/28/26",intel (R) Core (TM) i3-4005U CPU e 1.70GHz ,8GB,1TB
Computer 00531,Root entity,NXMAAEK00232604E277603,Refurb pending,Laptop,acer,Acer Aspire V7-581,VALIDATED,05280005,2026-05-28 15:17,2026-05-28 15:17,,intel (R) Core (TM) i3-2375M CPU @1.50GHz,4GB,HDD 500gb
Computer 00532,Root entity,NXMAAEK0023604E7603,Refurb complete,Laptop,acer,Acer Aspire V7-581,VALIDATED,05290001,2026-05-29 08:19,2026-05-29 08:22,"battery replacement-£25
everything else in good condition.",intel (R) Core (TM) i3-2375M CPU @1.50GHz,4GB,
